Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Manager Login,100,665,160,2165,483.01,0.000%,9.18611,6.25,2.19,696.6
Create Equipment,100,285,52,1272,233.00,0.000%,9.09753,5.01,10.74,563.6
Borrower Register,100,281,65,607,193.50,0.000%,8.75503,3.11,10.32,363.6
Borrower Login,100,285,64,1192,208.28,0.000%,8.45023,5.88,2.33,712.4
Create Borrow Request,100,276,52,1146,224.12,0.000%,7.75194,6.72,3.56,887.5
Get Borrow Request Details,100,260,47,545,189.55,0.000%,7.51315,7.92,1.56,1079.5
Manager Login (for Approval),100,279,63,515,190.69,0.000%,7.27273,4.95,1.73,696.6
Approve Borrow Request,100,280,53,1059,217.82,0.000%,7.05866,4.17,2.48,604.6
Borrower Login (for Claim),100,285,67,1035,204.30,0.000%,6.87002,4.78,1.89,712.4
Claim Equipment,100,272,53,1026,201.07,0.000%,6.68986,2.83,1.97,432.6
Create Return Request,100,282,57,1030,212.62,0.000%,6.50830,4.20,1.83,661.6
Manager Login (for Return Confirmation),100,289,65,1027,215.20,0.000%,6.33995,4.31,1.51,696.6
Confirm Return Request,100,272,58,508,186.62,0.000%,6.18009,2.79,2.11,461.6
TOTAL,1300,308,47,2165,260.93,0.000%,74.41754,47.90,31.83,659.1
